Destination,DestinationCode,Age,Departure,Duration,Run_Date,Start,End,Adults,Children,Essentials250,Essentials250_Note,Essentials100,Essentials100_Note,Premier250,Premier250_Note,Premier100,Premier100_Note,Premier0,Premier0_Note,Frequent250,Frequent250_Note,Frequent100,Frequent100_Note,Frequent0,Frequent0_Note
United States,100001,40,365,45,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,40,365,60,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,40,365,75,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,40,365,90,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,40,365,105,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,40,365,120,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,40,365,150,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,40,365,180,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,40,365,210,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,40,365,240,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,40,365,300,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,40,365,365,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,3,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,4,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,5,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,6,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,7,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,8,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,9,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,10,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,11,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,12,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,13,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,14,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,15,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,16,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,17,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,18,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,19,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,20,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,21,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,22,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,23,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,24,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,25,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,26,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,27,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,28,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,29,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,30,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,35,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,45,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,60,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,75,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,90,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,105,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,120,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,150,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,180,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,210,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,240,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,300,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,1,365,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,3,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,4,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,5,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,6,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,7,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,8,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,9,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,10,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,11,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,12,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,13,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,14,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,15,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,16,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,17,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,18,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,19,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,20,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,21,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,22,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,23,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,24,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,25,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,26,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,27,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,28,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,29,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,30,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,35,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,45,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,60,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,75,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,90,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,105,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,120,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,150,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,180,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,210,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,240,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,300,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,30,365,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,3,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,4,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,5,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,6,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,7,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,8,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,9,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,10,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,11,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,12,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,13,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,14,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,15,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,16,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,17,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,18,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,19,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,20,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,21,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,22,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,23,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,24,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,25,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,26,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,27,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,28,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,29,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,30,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,35,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,45,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,60,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,75,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,90,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,105,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,120,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,150,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,180,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,210,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,240,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,300,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,60,365,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,3,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,4,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,5,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,6,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,7,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,8,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,9,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,10,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,11,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,12,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,13,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,14,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,15,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,16,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,17,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,18,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,19,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,20,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,21,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,22,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,23,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,24,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,25,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,26,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,27,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,28,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,29,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,30,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,35,,,,1,0,,,,,,,,,,,,,,,,
